,date,previous_day_crimes,last_7_days_crimes,last_30_days_crimes,dayofweek,month,year,dayofmonth,weekofyear,is_weekend,season,num_of_crimes,y_pred
0,2021-06-01,76.0,569.0,2494.0,1,6,2021,1,22,0,2,167,178.3548399933248
1,2021-06-02,167.0,644.0,2590.0,2,6,2021,2,22,0,2,100,85.39107556906065
2,2021-06-03,100.0,667.0,2604.0,3,6,2021,3,22,0,2,72,87.94041302860788
3,2021-06-04,72.0,657.0,2589.0,4,6,2021,4,22,0,2,91,91.89344502866355
4,2021-06-05,91.0,660.0,2596.0,5,6,2021,5,22,1,2,72,88.77450396063595
5,2021-06-06,72.0,659.0,2564.0,6,6,2021,6,22,1,2,81,78.53845841259977
6,2021-06-07,81.0,659.0,2570.0,0,6,2021,7,23,0,2,84,87.96830999827672
7,2021-06-08,84.0,667.0,2598.0,1,6,2021,8,23,0,2,81,88.82187118171056
8,2021-06-09,81.0,581.0,2610.0,2,6,2021,9,23,0,2,83,86.70287936864796
9,2021-06-10,83.0,564.0,2625.0,3,6,2021,10,23,0,2,99,88.75598385348756
10,2021-06-11,99.0,591.0,2661.0,4,6,2021,11,23,0,2,121,92.6759427522329
11,2021-06-12,121.0,621.0,2684.0,5,6,2021,12,23,1,2,82,89.83063603610374
12,2021-06-13,82.0,631.0,2672.0,6,6,2021,13,23,1,2,66,78.24116239507622
13,2021-06-14,66.0,616.0,2652.0,0,6,2021,14,24,0,2,70,89.20262573897175
14,2021-06-15,70.0,602.0,2639.0,1,6,2021,15,24,0,2,100,88.59398762125444
15,2021-06-16,100.0,621.0,2645.0,2,6,2021,16,24,0,2,104,91.2269920647089
16,2021-06-17,104.0,642.0,2673.0,3,6,2021,17,24,0,2,103,91.19854947049527
17,2021-06-18,103.0,646.0,2681.0,4,6,2021,18,24,0,2,77,91.73607693176379
18,2021-06-19,77.0,602.0,2650.0,5,6,2021,19,24,1,2,103,80.2221107324245
19,2021-06-20,103.0,623.0,2649.0,6,6,2021,20,24,1,2,101,83.79672612700678
20,2021-06-21,101.0,658.0,2657.0,0,6,2021,21,25,0,2,107,85.70758807608678
21,2021-06-22,107.0,695.0,2697.0,1,6,2021,22,25,0,2,104,89.71907794460698
22,2021-06-23,104.0,699.0,2716.0,2,6,2021,23,25,0,2,113,90.16490069302014
23,2021-06-24,113.0,708.0,2750.0,3,6,2021,24,25,0,2,106,94.87538309097381
24,2021-06-25,106.0,711.0,2764.0,4,6,2021,25,25,0,2,102,97.43721231556228
25,2021-06-26,102.0,736.0,2789.0,5,6,2021,26,25,1,2,93,94.59914139089695
26,2021-06-27,93.0,726.0,2800.0,6,6,2021,27,25,1,2,90,89.6262108489809
27,2021-06-28,90.0,715.0,2802.0,0,6,2021,28,26,0,2,119,87.52522183073799
28,2021-06-29,119.0,727.0,2848.0,1,6,2021,29,26,0,2,90,94.86454230723729
29,2021-06-30,90.0,713.0,2857.0,2,6,2021,30,26,0,2,101,95.54432608718595
30,2021-07-01,101.0,701.0,2882.0,3,7,2021,1,26,0,2,152,200.16866713223368
31,2021-07-02,152.0,747.0,2867.0,4,7,2021,2,26,0,2,111,99.09231036845428
32,2021-07-03,111.0,756.0,2878.0,5,7,2021,3,26,1,2,86,96.49140120665305
33,2021-07-04,86.0,749.0,2892.0,6,7,2021,4,26,1,2,86,88.47760039491718
34,2021-07-05,86.0,745.0,2887.0,0,7,2021,5,27,0,2,101,91.48867056720664
35,2021-07-06,101.0,727.0,2916.0,1,7,2021,6,27,0,2,105,95.44067598883767
36,2021-07-07,105.0,742.0,2940.0,2,7,2021,7,27,0,2,85,97.51749164069396
37,2021-07-08,85.0,726.0,2941.0,3,7,2021,8,27,0,2,96,97.04427335270387
38,2021-07-09,96.0,670.0,2956.0,4,7,2021,9,27,0,2,110,96.39489033891991
39,2021-07-10,110.0,669.0,2983.0,5,7,2021,10,27,1,2,82,98.46516045259858
40,2021-07-11,82.0,665.0,2966.0,6,7,2021,11,27,1,2,69,78.82661213480408
41,2021-07-12,69.0,648.0,2914.0,0,7,2021,12,28,0,2,83,89.08000649938114
42,2021-07-13,83.0,630.0,2915.0,1,7,2021,13,28,0,2,79,96.25574732553855
43,2021-07-14,79.0,604.0,2928.0,2,7,2021,14,28,0,2,128,94.69901736176463
44,2021-07-15,128.0,647.0,2986.0,3,7,2021,15,28,0,2,102,107.39562389900648
45,2021-07-16,102.0,653.0,2988.0,4,7,2021,16,28,0,2,113,100.68308736384644
46,2021-07-17,113.0,656.0,2997.0,5,7,2021,17,28,1,2,89,98.56464641125669
47,2021-07-18,89.0,663.0,2983.0,6,7,2021,18,28,1,2,80,77.66547692981833
48,2021-07-19,80.0,674.0,2986.0,0,7,2021,19,29,0,2,91,95.49830215125641
49,2021-07-20,91.0,682.0,2974.0,1,7,2021,20,29,0,2,74,97.65582737927738
50,2021-07-21,74.0,677.0,2947.0,2,7,2021,21,29,0,2,94,91.82339576377986
51,2021-07-22,94.0,643.0,2934.0,3,7,2021,22,29,0,2,114,95.80573388570788
52,2021-07-23,114.0,655.0,2944.0,4,7,2021,23,29,0,2,91,97.47651605383992
53,2021-07-24,91.0,633.0,2922.0,5,7,2021,24,29,1,2,91,95.64860438776337
54,2021-07-25,91.0,635.0,2907.0,6,7,2021,25,29,1,2,96,78.54373752513716
55,2021-07-26,96.0,651.0,2901.0,0,7,2021,26,30,0,2,85,86.62125803451327
56,2021-07-27,85.0,645.0,2893.0,1,7,2021,27,30,0,2,104,94.08538449581627
57,2021-07-28,104.0,675.0,2907.0,2,7,2021,28,30,0,2,116,97.41510379737147
58,2021-07-29,116.0,697.0,2904.0,3,7,2021,29,30,0,2,100,95.85453499958352
59,2021-07-30,100.0,683.0,2914.0,4,7,2021,30,30,0,2,105,97.55126053504586
