,date,previous_day_calls,last_7_days_calls,last_30_days_calls,dayofweek,month,year,dayofmonth,weekofyear,is_weekend,season,num_of_calls,y_pred
0,2022-06-01,472.0,2611.0,12945.0,2,6,2022,1,22,0,2,487,459.09424091474125
1,2022-06-02,487.0,2687.0,13083.0,3,6,2022,2,22,0,2,442,470.8403277054833
2,2022-06-03,442.0,2682.0,13149.0,4,6,2022,3,22,0,2,473,454.2370260224442
3,2022-06-04,473.0,2749.0,13233.0,5,6,2022,4,22,1,2,453,416.2988499830578
4,2022-06-05,453.0,2780.0,13242.0,6,6,2022,5,22,1,2,425,406.4428944996523
5,2022-06-06,425.0,2752.0,13213.0,0,6,2022,6,23,0,2,412,434.1954570503246
6,2022-06-07,412.0,2692.0,13201.0,1,6,2022,7,23,0,2,413,437.3908807434308
7,2022-06-08,413.0,2618.0,13269.0,2,6,2022,8,23,0,2,449,439.50430760766653
8,2022-06-09,449.0,2625.0,13312.0,3,6,2022,9,23,0,2,388,441.0624922600078
9,2022-06-10,388.0,2540.0,13307.0,4,6,2022,10,23,0,2,477,427.03260172267954
10,2022-06-11,477.0,2564.0,13343.0,5,6,2022,11,23,1,2,462,414.7371840045919
11,2022-06-12,462.0,2601.0,13370.0,6,6,2022,12,23,1,2,370,401.86710464457985
12,2022-06-13,370.0,2559.0,13298.0,0,6,2022,13,24,0,2,416,414.9426016542365
13,2022-06-14,416.0,2562.0,13306.0,1,6,2022,14,24,0,2,454,425.29725913838803
14,2022-06-15,454.0,2567.0,13362.0,2,6,2022,15,24,0,2,446,432.2908818197955
15,2022-06-16,446.0,2625.0,13430.0,3,6,2022,16,24,0,2,510,439.7835702607138
16,2022-06-17,510.0,2658.0,13505.0,4,6,2022,17,24,0,2,449,494.6833946915829
17,2022-06-18,449.0,2645.0,13539.0,5,6,2022,18,24,1,2,437,416.3359988781242
18,2022-06-19,437.0,2712.0,13519.0,6,6,2022,19,24,1,2,402,406.07118230025753
19,2022-06-20,402.0,2698.0,13428.0,0,6,2022,20,25,0,2,438,428.78285313043165
20,2022-06-21,438.0,2682.0,13213.0,1,6,2022,21,25,0,2,459,442.91653949798996
21,2022-06-22,459.0,2695.0,13191.0,2,6,2022,22,25,0,2,450,444.8964421797267
22,2022-06-23,450.0,2635.0,13220.0,3,6,2022,23,25,0,2,433,444.01840525390764
23,2022-06-24,433.0,2619.0,13196.0,4,6,2022,24,25,0,2,462,447.808372581025
24,2022-06-25,462.0,2644.0,13218.0,5,6,2022,25,25,1,2,449,413.1415170266424
25,2022-06-26,449.0,2691.0,13256.0,6,6,2022,26,25,1,2,363,402.58322495760024
26,2022-06-27,363.0,2616.0,13172.0,0,6,2022,27,26,0,2,404,407.7924192326435
27,2022-06-28,404.0,2561.0,13170.0,1,6,2022,28,26,0,2,459,419.8904197901554
28,2022-06-29,459.0,2570.0,13207.0,2,6,2022,29,26,0,2,468,438.5839539608078
29,2022-06-30,468.0,2605.0,13222.0,3,6,2022,30,26,0,2,453,441.56058139116897
30,2022-07-01,453.0,2596.0,13203.0,4,7,2022,1,26,0,2,428,465.5464484146381
