date,num_of_exceptions,expected_officers,num_of_crimes_predicted,num_of_calls_predicted,expected_officers_rank,num_of_crimes_predicted_rank,num_of_calls_predicted_rank,expected_officers_bucket,num_of_crimes_predicted_bucket,num_of_calls_predicted_bucket
2022-06-01,29,251,193.939090007215,459.0942409147413,0.5817757009345794,0.985981308411215,0.9205607476635514,2,3,3
2022-06-02,27,253,115.5191785283166,470.8403277054833,0.6869158878504673,0.9485981308411215,0.9485981308411215,3,3,3
2022-06-03,25,255,103.79277781442242,454.2370260224442,0.7920560747663551,0.5233644859813084,0.9112149532710281,3,2,3
2022-06-04,25,255,99.69077461965404,416.2988499830578,0.7920560747663551,0.26635514018691586,0.42990654205607476,3,1,2
2022-06-05,25,255,95.23707600576488,406.4428944996523,0.7920560747663551,0.08411214953271028,0.2616822429906542,3,1,1
2022-06-06,34,246,101.29235282307062,434.1954570503246,0.2827102803738318,0.3691588785046729,0.7429906542056075,1,2,3
2022-06-07,39,241,100.36537911431586,437.3908807434308,0.09345794392523364,0.29906542056074764,0.8177570093457944,1,1,3
2022-06-08,35,245,102.30448430932223,439.5043076076665,0.22897196261682243,0.4252336448598131,0.8364485981308412,1,2,3
2022-06-09,27,253,105.4033058596952,441.0624922600078,0.6869158878504673,0.602803738317757,0.8551401869158879,3,2,3
2022-06-10,24,256,108.72482257575052,427.03260172267954,0.8457943925233645,0.7336448598130841,0.602803738317757,3,3,2
2022-06-11,20,260,103.59451686899322,414.7371840045919,0.9532710280373832,0.514018691588785,0.40186915887850466,3,2,2
2022-06-12,20,260,94.07104288977828,401.8671046445799,0.9532710280373832,0.04672897196261682,0.2336448598130841,3,1,1
2022-06-13,42,238,104.424145440292,414.9426016542365,0.02102803738317757,0.5514018691588785,0.40654205607476634,1,2,2
2022-06-14,34,246,102.85346276315808,425.297259138388,0.2827102803738318,0.4672897196261682,0.5700934579439252,1,2,2
2022-06-15,31,249,105.69584398660558,432.2908818197955,0.45560747663551404,0.616822429906542,0.7102803738317757,2,2,3
2022-06-16,31,249,105.1904051885923,439.7835702607138,0.45560747663551404,0.5887850467289719,0.8457943925233645,2,2,3
2022-06-17,35,245,108.0258950964846,494.6833946915829,0.22897196261682243,0.6915887850467289,0.9813084112149533,1,3,3
2022-06-18,31,249,104.00804227567708,416.3359988781242,0.45560747663551404,0.5280373831775701,0.43457943925233644,2,2,2
2022-06-19,30,250,94.1533290683693,406.07118230025753,0.5070093457943925,0.0514018691588785,0.2570093457943925,2,1,1
2022-06-20,35,245,108.71937811758116,428.7828531304317,0.22897196261682243,0.7289719626168224,0.6495327102803738,1,3,2
2022-06-21,40,240,110.15259723450302,442.91653949799,0.06775700934579439,0.8084112149532711,0.8691588785046729,1,3,3
2022-06-22,29,251,111.27089581691077,444.8964421797267,0.5817757009345794,0.8411214953271028,0.8878504672897196,2,3,3
2022-06-23,40,240,113.02020835578406,444.0184052539077,0.06775700934579439,0.8785046728971962,0.883177570093458,1,3,3
2022-06-24,41,239,108.6923687829988,447.808372581025,0.04205607476635514,0.719626168224299,0.897196261682243,1,3,3
2022-06-25,23,257,104.75952120169364,413.1415170266424,0.8901869158878505,0.5700934579439252,0.37850467289719625,3,2,2
2022-06-26,35,245,97.92787941914284,402.5832249576002,0.22897196261682243,0.1588785046728972,0.24299065420560748,1,1,1
2022-06-27,40,240,113.19563753110866,407.7924192326435,0.06775700934579439,0.8878504672897196,0.2897196261682243,1,3,1
2022-06-28,35,245,107.54034328124348,419.8904197901554,0.22897196261682243,0.677570093457944,0.4953271028037383,1,3,2
2022-06-29,34,246,108.9405608956162,438.5839539608078,0.2827102803738318,0.7523364485981309,0.8271028037383178,1,3,3
2022-06-30,33,247,114.13525310097384,441.56058139116897,0.3341121495327103,0.9158878504672897,0.8598130841121495,2,3,3
2022-07-01,33,247,194.3764490891053,465.5464484146381,0.3341121495327103,0.9953271028037384,0.9392523364485982,2,3,3
2022-07-02,30,250,100.758290995872,424.3570674532221,0.5070093457943925,0.3411214953271028,0.5467289719626168,2,2,2
2022-07-03,29,251,95.973322180468,395.4557833885412,0.5817757009345794,0.102803738317757,0.19158878504672897,2,1,1
2022-07-04,39,241,99.68559274381629,426.7217074883021,0.09345794392523364,0.2616822429906542,0.5934579439252337,1,1,2
2022-07-05,40,240,106.3631428815766,432.8379083909901,0.06775700934579439,0.6495327102803738,0.719626168224299,1,2,3
2022-07-06,36,244,104.23557264249912,421.9807996554249,0.16822429906542055,0.5373831775700935,0.5186915887850467,1,2,2
2022-07-07,32,248,109.6371176518995,429.4491381906297,0.40186915887850466,0.7710280373831776,0.6635514018691588,2,3,3
2022-07-08,38,242,105.75794829665708,432.2257403223272,0.1191588785046729,0.6214953271028038,0.705607476635514,1,2,3
2022-07-09,35,245,104.35454109157683,502.6472014260593,0.22897196261682243,0.5420560747663551,0.9953271028037384,1,2,3
2022-07-10,39,241,98.53620139608968,399.67516020013545,0.09345794392523364,0.205607476635514,0.22429906542056074,1,1,1
2022-07-11,33,247,109.8700407588627,428.5057306997273,0.3341121495327103,0.7850467289719626,0.6448598130841121,2,3,2
2022-07-12,29,251,111.42138043805808,431.7418135899331,0.5817757009345794,0.8504672897196262,0.6962616822429907,2,3,3
2022-07-13,32,248,109.71496319576411,434.9197873350083,0.40186915887850466,0.7757009345794392,0.7616822429906542,2,3,3
2022-07-14,30,250,104.62789956961406,425.4792025568369,0.5070093457943925,0.5654205607476636,0.5747663551401869,2,2,2
2022-07-15,29,251,113.7124300727231,436.74192467147645,0.5817757009345794,0.9018691588785047,0.8037383177570093,2,3,3
2022-07-16,33,247,103.2164944718329,411.0725947300201,0.3341121495327103,0.5,0.35046728971962615,2,2,2
2022-07-17,36,244,96.47066327667392,400.6641930857684,0.16822429906542055,0.11214953271028037,0.22897196261682243,1,1,1
2022-07-18,23,257,113.06164069734112,409.8553267357103,0.8901869158878505,0.883177570093458,0.32710280373831774,3,3,1
2022-07-19,21,259,112.20351355966775,410.91675881657727,0.9252336448598131,0.8644859813084113,0.34579439252336447,3,3,2
2022-07-20,29,251,110.95245687588069,411.7693146962383,0.5817757009345794,0.8364485981308412,0.3691588785046729,2,3,2
2022-07-21,33,247,106.03506703091192,435.7661454018131,0.3341121495327103,0.6448598130841121,0.7850467289719626,2,2,3
2022-07-22,32,248,108.3331569500262,433.78949351816607,0.40186915887850466,0.705607476635514,0.7336448598130841,2,3,3
2022-07-23,37,243,105.0232028084552,397.6629861131984,0.14018691588785046,0.5794392523364486,0.2102803738317757,1,2,1
2022-07-24,29,251,98.5597631817718,391.12647369054366,0.5817757009345794,0.2102803738317757,0.1588785046728972,2,1,1
2022-07-25,27,253,113.72799839963092,407.6204913121466,0.6869158878504673,0.9065420560747663,0.2803738317757009,3,3,1
2022-07-26,21,259,113.21722865679064,416.6010720861784,0.9252336448598131,0.897196261682243,0.4392523364485981,3,3,2
2022-07-27,24,256,113.2079816962538,409.1028074181664,0.8457943925233645,0.8925233644859814,0.308411214953271,3,3,1
2022-07-28,29,251,109.83328030155052,427.8918026904792,0.5817757009345794,0.780373831775701,0.6261682242990654,2,3,2
2022-07-29,31,249,114.32892919667763,418.5496082656414,0.45560747663551404,0.9205607476635514,0.4672897196261682,2,3,2
2022-07-30,35,245,109.91259058301694,398.8423117965893,0.22897196261682243,0.794392523364486,0.21495327102803738,1,3,1
2022-07-31,37,243,107.0920127004616,398.8503975066456,0.14018691588785046,0.6635514018691588,0.21962616822429906,1,3,1
2022-08-01,29,251,194.8529642406205,451.60872955696016,0.5817757009345794,1.0,0.9018691588785047,2,3,3
2022-08-02,33,247,102.58165519380826,440.582294381493,0.3341121495327103,0.43457943925233644,0.8504672897196262,2,2,3
2022-08-03,27,253,100.32135543390022,439.5839911063632,0.6869158878504673,0.29439252336448596,0.8411214953271028,3,1,3
2022-08-04,24,256,104.405272744451,427.4948758449541,0.8457943925233645,0.5467289719626168,0.616822429906542,3,2,2
2022-08-05,24,256,100.6584677668706,430.2476450519198,0.8457943925233645,0.32710280373831774,0.677570093457944,3,1,3
